objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4,ra,dec,neighbor_id,angular_sep,num_neighbors
1237645943979180612,1.399604E+18,0.01949213,21.31427,19.03107,18.78801,19.26983,19.15778,17.081,16.278,12.594,9.075,0.5279400407699192,-1.4282544360665126,-0.6724764287551207,-1.4305178236018803,inf,inf,False,0,2.2832,2.52626,2.04444,2.15649,0.24306,-0.23876,-0.12671,-0.48182,-0.36977,0.11205,0.803,4.487,8.006,3.684,7.203,3.519,57.0173229052629,1.04552781312669,[],[],0
1237645943979508109,1.398515E+18,0.03839651,19.15826,18.14675,17.82738,17.58305,17.46861,16.17,16.259,12.534,8.962,0.1420696522964071,-0.9165579059746204,-0.451983782838594,-1.214055443523749,0.0163549141213357,,False,0,1.01151,1.33088,1.57521,1.68965,0.31937,0.5637,0.67814,0.24433,0.35877,0.11444,-0.089,3.636,7.208,3.725,7.297,3.572,57.7046790004628,0.960463191525081,[],[],0
1237648702984093714,3.479597E+17,0.02314522,18.55297,17.33136,17.09766,16.84304,16.79137,15.737,15.77,12.669,8.847,0.1360445454705458,-0.7980705462763272,-0.2997600692391062,-2.21015592659493,inf,inf,False,0,1.22161,1.45531,1.70993,1.7616,0.2337,0.48832,0.53999,0.25462,0.30629,0.05167,-0.033,3.068,6.89,3.101,6.923,3.822,223.599511185508,-1.12985939023181,[],[],0
1237648702992155134,3.884954E+17,0.03480103,17.72277,16.82992,16.48717,16.26849,16.08926,13.806,13.535,9.379,7.604,-0.2039787914568682,-0.5358715405285911,-0.5271361857754459,-1.6131780824195348,-0.0943259048793701,-1.3210781486521808,False,0,0.89285,1.2356,1.45428,1.63351,0.34275,0.56143,0.74066,0.21868,0.39791,0.17923,0.271,4.427,6.202,4.156,5.931,1.775,242.106324033165,-1.21472999890493,[],[],0
1237648703505039455,3.254123E+17,0.04290823,20.20203,18.5532,17.71663,17.2793,16.94498,14.567,14.357,11.166,8.292,-0.4012284219303871,-0.3764689221609405,-0.6319072734969589,-1.9153447315375216,-0.4199687606610817,-1.1254779739471508,False,0,1.64883,2.4854,2.92273,3.25705,0.83657,1.2739,1.60822,0.43733,0.77165,0.33432,0.21,3.401,6.275,3.191,6.065,2.874,187.211825463226,-0.639493397495324,[],[],0
1237648703506808952,3.288464E+17,0.02297334,17.38447,15.64536,15.1749,14.92813,14.78215,14.836,14.69,11.633,8.85,-0.1922071625141433,-0.5432523781904259,-0.2656721386855842,,inf,inf,False,0,1.73911,2.20957,2.45634,2.60232,0.47046,0.71723,0.86321,0.24677,0.39275,0.14598,0.146,3.203,5.986,3.057,5.84,2.783,191.330192628836,-0.760445599685824,[],[],0
1237648704042565657,3.265762E+17,0.02263155,15.26668,13.58423,12.74797,12.3324,11.94574,11.019,11.045,8.147,6.048,-0.641694129824978,-0.4265813763460023,-0.5841319134579938,-1.7439215609082823,inf,inf,False,0,1.68245,2.51871,2.93428,3.32094,0.83626,1.25183,1.63849,0.41557,0.80223,0.38666,-0.026,2.872,4.971,2.898,4.997,2.099,188.794435461631,-0.221135591000015,[],[],0
1237648704046629003,3.322057E+17,0.04062444,18.31561,17.34599,16.97116,16.73808,16.5818,14.789,14.549,11.377,8.673,-0.061991566324381,-0.6342370512883493,-0.4661570597992528,-1.5163169055948018,-0.1049814815569816,-1.3053331894574731,False,0,0.96962,1.34445,1.57753,1.73381,0.37483,0.60791,0.76419,0.23308,0.38936,0.15628,0.24,3.412,6.116,3.172,5.876,2.704,198.071283651797,-0.294947015345206,[],[],0
1237648704048332959,3.344363E+17,0.04604892,19.44778,17.59693,16.6982,16.24501,15.80145,13.703,13.601,11.301,9.075,-0.1392927834288345,-0.4072046704951602,-0.2041896525928503,-1.5628509013445826,0.0833177107864052,-0.8632071518026492,False,0,1.85085,2.74958,3.20277,3.64633,0.89873,1.35192,1.79548,0.45319,0.89675,0.44356,0.102,2.402,4.628,2.3,4.526,2.226,201.984062083556,-0.302765459418362,[],[],0
1237648704049447009,3.367051E+17,0.02204254,16.9017,16.05482,15.80106,15.69918,15.58668,13.705,12.866,9.183,6.642,0.567149984915841,-0.7233673128049288,-0.6849662725059101,-1.5364359312160836,-2.660462941822816,-3.804952382030267,True,2,0.84688,1.10064,1.20252,1.31502,0.25376,0.35564,0.46814,0.10188,0.21438,0.1125,0.839,4.522,7.063,3.683,6.224,2.541,204.564104821911,-0.398550148561042,[],[],0
